ANTHRO 3338F - SKELETAL BIOLOGY,"[['', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '10:30 AM', '1:30 PM', 'SSC-2257']]"
ANTHRO 3332F - SOC/CULT ANTH PRSPCTVS LIFECRS,"[['', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '10:30 AM', '12:30 PM', 'SSC-3026', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '1:30 PM', '2:30 PM', 'SSC-3102']]"
ANTHRO 2212F - CULTURES OF THE PACIFIC,"[['', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '12:30 PM', '1:30 PM', 'P&amp;AB-34', '', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '12:30 PM', '2:30 PM', 'P&amp;AB-34']]"
ANTHRO 2233F - ONTARIO ARCHAEOLOGY,"[['', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '10:30 AM', '12:30 PM', 'SSC-2257', '', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '9:30 AM', '10:30 AM', 'SSC-3014']]"
ANTHRO 2223F - DOING FIELDWORK IN  ANTHRO,"[['', '  ', '  ', '  ', '  ', ' F', ' ', ' ', '', '10:30 AM', '12:30 PM', 'UCC-59']]"
ANTHRO 3325G - READINGS IN ANTHROPOLOGY,"[['', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '']]"
ANTHRO 2222G - DEBATES IN SOCIOCULT ANTHRO,"[['', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '2:30 PM', '5:30 PM', 'SSC-2257']]"
ANTHRO 2284G - MOBILE PHONES &amp; THE INTERNET,"[['', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '1:30 PM', '2:30 PM', 'HSB-11', '', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '12:30 PM', '2:30 PM', 'HSB-11']]"
ANTHRO 2238B - READING LIFE &amp; DEATH,"[['', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '10:30 AM', '1:30 PM', 'B&amp;GS-0153']]"
ANTHRO 4429G - PRINCIPLES APPLED ARCHAEOLOGY,"[['', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '1:30 PM', '4:30 PM', 'SSC-3315']]"
